title,subtitle
Governo norueguês confirma bloqueio de doações para preservação da Amazônia,O governo da Noruega confirmou à BBC News Brasil o congelamento de repasses do país ao Fundo Amazônia - uma reserva de dinheiro destinada a financiar projetos de preservação da floresta. 
Partículas de plástico caem do céu com a neve no Ártico," Micropartículas de plástico estão caindo do céu com a neve - inclusive, no Ártico."
Estudo com câmeras de segurança revela que somos mais dispostos a ajudar os outros do que se pensava,"Um estudo publicado na revista acadêmica American Psychologist indica que há mais pessoas boas, dispostas a ajudar o próximo, do que poderíamos imaginar."
Piloto faz 'pouso milagroso' em milharal após avião se chocar com pássaros na Rússia,"Um avião de passageiros de uma companhia russa fez um pouso de emergência em um milharal próximo a Moscou, depois de ter sido atingido por um bando de pássaros. "
Dentadura é encontrada na garganta de homem uma semana após cirurgia,A dentadura de um paciente ficou presa em sua garganta durante uma operação de rotina e só foi encontrada depois de oito dias.
Encontrado na Nova Zelândia fóssil de pinguim gigante,"Fósseis de um pinguim gigante, do tamanho de um ser humano, foram descobertos na Nova Zelândia. "
Carboidratos são cruciais ou desnecessários?,Carboidratos são um fonte crucial de fibra e energia ou um alimento que aumenta de forma prejudicial o nível de açúcar no nosso sangue?
Vítimas de abuso sexual e tortura em orfanatos recebem pedido de desculpas do governo da Dinamarca,"A primeira-ministra da Dinamarca, Mette Frederiksen, pediu desculpas para centenas de vítimas de abuso em orfanatos mantidos pelo governo. "
"Alvo de protestos de ambientalistas, Embaixada do Brasil em Londres é pichada com tinta vermelha", A Embaixada do Brasil em Londres foi alvo de protestos de um grupo de ambientalistas na manhã desta terça-feira (13). Os manifestantes protestavam contra a morte de indígenas e defendiam a proteção da Amazônia. 
Urso invade casa nos EUA e quebra a parede para sair,"Um urso-negro invadiu uma casa no Colorado, nos EUA, e escapou quebrando a parede."
"'Se há mais armas, há mais crimes', diz criminologista americano"," ""Se há mais armas, há mais crimes"", disse à BBC uma das maiores autoridades em criminologia do Reino Unido, o cientista social americano Lawrence Sherman."
Oposição surpreende e vence primárias na Argentina com larga vantagem,"O candidato de oposição à presidência da Argentina, Alberto Fernández, venceu no domingo com larga vantagem as eleições primárias para a Presidência do país."
